42
19900401,19910331,April90
19910401,19920331,April91
19920401,19930331,April92
19930401,19940331,April93
19940401,19950331,April94
19950401,19960331,April95
19960401,19970331,April96
19970401,19980331,April97
19980401,19990331,April98
19990401,19991130,April99
19991201,20000331,Autumn99
20000401,20001130,April00
20001201,20010331,Autumn00
20010401,20011130,April01
20011201,20020331,Autumn01
20020401,20021130,April02
20021201,20030331,Autumn02
20030401,20031130,April03
20031201,20040331,Autumn03
20040401,20041130,April04
20041201,20050331,Autumn04
20050401,20051130,April05
20051201,20060331,Autumn05
20060401,20061130,April06
20061201,20070331,Autumn06
20070401,20071130,April07
20071201,20080331,Autumn07
20080401,20081130,April08
20081201,20090331,Autumn08
20090401,20091130,April09
20091201,20100331,Autumn09
20100401,20101130,April10
20101201,20110331,Autumn10
20110401,20120331,April11
20120401,20121130,April12
20121201,20130331,Autumn12
20130401,20140331,April13
20140401,20141130,April14
20141201,20140331,Autumn14
20150401,20151130,April15
20151201,20150331,Autumn15
20160401,20161130,April16
